PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,EL-332,CS-318,CS-306,CS-312,CS-317,CGPA
3.4,2.4,2.7,2.4,1.7,3.7,2.7,2.4,3.7,2.4,2.7,3.7,1.4,4.0,2.7,3.4,1.0,3.7,2.7,3.7,3.4,2.7,3.0,1.7,3.0,3.0,3.7,2.4,3.4,2.7,3.4,1.7,3.0,2.953
4.0,3.7,4.0,3.7,4.0,4.0,2.7,3.7,3.4,4.0,3.0,3.7,3.4,3.7,4.0,3.7,3.7,4.0,3.7,4.0,3.4,3.7,3.7,2.7,3.4,3.4,3.7,3.7,3.7,3.7,3.7,2.7,2.7,3.586
4.0,2.7,3.7,3.0,3.4,3.7,3.0,4.0,4.0,3.7,2.4,4.0,3.0,3.7,3.7,4.0,3.0,4.0,3.7,3.7,3.7,3.7,4.0,2.7,3.4,3.7,3.0,2.7,4.0,3.0,3.0,2.7,3.4,3.475
2.4,1.7,2.0,1.7,1.0,2.7,1.0,2.4,3.7,3.4,1.0,3.7,1.4,3.4,1.4,2.0,1.0,3.4,1.4,2.0,1.0,1.0,1.0,2.0,3.0,1.4,2.7,1.4,2.7,1.7,2.0,1.4,1.4,2.228
4.0,3.4,4.0,3.7,3.7,4.0,2.4,4.0,4.0,3.7,3.4,3.7,3.0,3.7,3.7,3.7,2.7,4.0,3.0,4.0,3.7,3.7,3.0,1.7,3.4,3.4,3.7,2.0,3.7,3.4,4.0,2.4,3.0,3.44
2.0,2.4,1.4,1.4,1.7,3.4,1.0,2.0,3.0,3.0,3.7,3.0,1.0,2.4,1.4,2.0,1.7,1.7,2.0,2.0,1.4,1.0,2.4,1.4,3.0,2.4,2.4,1.4,1.7,2.0,2.0,1.0,1.0,2.188
3.4,3.0,3.7,3.4,2.7,4.0,3.0,1.4,3.7,3.7,1.7,4.0,4.0,3.4,3.0,3.4,2.7,4.0,2.7,3.7,2.4,3.7,3.0,1.7,3.7,3.7,3.7,2.4,3.7,2.7,3.4,2.4,3.4,3.195
2.0,2.7,2.0,1.4,3.0,3.0,2.4,2.4,2.4,3.0,1.0,3.7,1.4,2.4,2.7,2.7,2.0,2.7,2.0,2.7,1.0,1.7,1.7,1.7,2.7,1.4,2.7,1.7,2.4,2.4,1.7,1.4,2.0,2.294
3.7,3.0,4.0,3.4,2.7,3.7,3.4,4.0,3.7,4.0,3.0,3.7,2.7,3.7,3.7,4.0,3.7,4.0,4.0,4.0,3.4,3.4,3.7,2.4,3.7,3.0,3.0,2.7,3.7,3.7,3.0,2.0,3.7,3.443
4.0,2.4,3.7,2.4,3.4,3.7,2.7,3.4,3.7,3.7,3.0,3.0,3.4,4.0,3.7,4.0,2.4,3.7,3.7,3.0,2.7,3.7,2.7,1.4,3.0,2.7,3.7,1.7,2.7,3.0,2.4,2.0,2.4,3.133
3.0,2.4,4.0,1.4,3.7,4.0,3.7,4.0,3.7,3.7,2.7,3.7,3.7,3.7,3.7,3.7,3.7,4.0,3.0,4.0,2.7,3.7,3.4,1.4,2.7,3.0,3.0,2.4,3.7,3.0,3.0,2.4,3.0,3.22
4.0,2.4,3.7,3.0,3.7,3.4,1.7,3.4,3.7,2.7,1.7,4.0,3.0,3.7,3.7,3.7,2.4,3.7,3.0,4.0,2.7,3.4,3.0,2.0,3.7,2.0,3.0,2.0,3.7,2.7,3.0,1.4,2.7,3.112
3.4,2.7,3.7,4.0,2.4,3.7,1.0,3.7,3.7,2.4,1.7,4.0,2.0,4.0,3.0,3.7,3.0,3.7,1.7,4.0,3.0,2.0,2.7,3.7,3.7,3.0,3.7,1.7,3.4,2.7,3.7,2.0,3.4,3.16
3.0,2.4,2.7,1.4,3.4,3.7,2.7,3.4,3.7,3.7,3.4,3.7,3.0,3.7,1.4,3.7,3.0,4.0,1.7,4.0,2.7,2.4,3.0,2.0,3.7,2.4,3.0,1.7,3.7,2.7,3.0,1.7,2.0,3.019
3.4,3.4,3.7,2.7,3.4,3.7,2.4,3.4,3.7,3.0,1.7,4.0,2.4,3.7,3.7,3.7,2.0,3.7,3.0,3.7,2.7,3.7,3.4,2.0,3.4,2.0,3.4,2.7,3.4,2.7,3.7,2.4,2.4,3.164
3.0,2.0,3.7,2.7,3.4,4.0,4.0,3.7,3.7,3.7,3.7,3.7,1.4,4.0,3.7,3.7,3.0,4.0,3.0,3.4,3.4,2.7,3.7,2.7,3.4,2.7,3.4,2.4,3.7,3.4,3.7,3.0,3.0,3.332
1.7,1.7,1.0,1.0,2.4,2.4,1.7,1.0,2.0,2.0,1.7,3.7,2.4,3.0,2.7,3.0,2.4,3.7,1.7,3.0,1.4,1.7,1.7,1.7,1.7,2.7,2.7,1.4,2.0,1.4,1.4,2.4,1.4,2.165
3.7,3.7,3.4,3.4,3.7,4.0,3.4,4.0,4.0,3.7,4.0,3.4,2.7,4.0,3.7,4.0,3.7,4.0,3.7,3.7,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,3.7,4.0,3.7,3.7,3.0,3.7
3.7,2.7,2.7,2.0,3.7,4.0,4.0,2.7,3.7,2.7,2.7,4.0,2.0,3.7,3.4,3.0,2.7,3.0,2.0,3.4,2.0,2.4,2.0,1.7,3.7,2.4,3.0,2.4,3.7,2.7,3.0,2.7,3.4,3.033
3.0,2.0,2.4,2.0,1.4,3.7,1.4,2.7,3.0,3.4,3.4,3.7,2.7,3.4,3.7,3.4,1.7,2.4,2.7,3.7,1.4,2.7,3.0,2.0,2.7,1.4,3.0,2.0,2.4,2.0,2.7,1.4,2.0,2.696
3.4,2.0,3.0,2.0,2.7,3.7,1.0,3.7,3.7,2.7,3.7,3.7,2.7,3.7,3.4,2.7,1.4,3.4,1.7,3.7,1.7,1.7,2.4,1.4,3.0,3.7,3.0,1.7,3.7,4.0,2.7,1.7,1.7,2.851
1.7,3.4,2.0,3.4,2.4,3.7,3.4,2.7,4.0,4.0,2.4,3.7,1.0,3.4,1.0,3.7,1.7,3.4,2.4,1.4,3.0,2.7,3.4,2.7,3.7,2.7,3.7,2.4,3.0,3.4,3.7,3.4,3.4,3.058
1.0,2.0,2.4,2.4,2.4,1.7,2.4,2.4,1.4,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.493
3.0,2.7,2.7,1.4,1.7,2.0,1.0,3.0,3.7,3.0,2.0,3.4,1.7,2.7,1.4,1.4,3.0,1.0,1.0,1.7,3.7,3.0,1.4,1.0,2.0,1.4,1.7,1.4,1.0,1.0,1.0,3.0,1.4,2.069
3.7,1.7,2.4,1.7,1.0,2.4,1.4,1.4,3.4,2.4,1.7,3.7,1.0,3.7,1.0,1.0,1.0,2.0,1.4,1.4,1.0,1.0,3.7,2.4,2.4,2.4,1.0,2.4,1.0,1.0,1.0,1.0,1.4,1.996
3.7,3.4,3.7,3.7,4.0,4.0,4.0,4.0,4.0,2.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,3.7,4.0,4.0,3.897
4.0,3.7,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,4.0,3.4,4.0,3.7,4.0,4.0,4.0,4.0,3.7,3.7,4.0,4.0,4.0,4.0,3.7,2.7,3.848
3.7,3.7,4.0,3.7,3.7,4.0,3.7,4.0,4.0,3.7,3.0,4.0,3.7,4.0,3.7,3.4,3.4,4.0,3.7,4.0,2.4,4.0,4.0,2.7,3.7,1.7,3.0,3.7,4.0,3.4,3.7,2.4,2.4,3.404
2.4,1.0,2.0,1.0,1.4,3.0,3.7,1.7,2.0,2.7,2.4,3.0,1.0,2.4,1.4,2.0,1.0,2.4,1.7,1.0,1.4,1.7,2.4,1.4,2.0,2.0,2.0,3.0,2.0,2.0,2.4,2.7,1.7,2.254
1.7,3.0,2.7,2.7,3.0,3.4,1.0,2.7,3.4,1.0,3.0,3.7,1.7,3.4,1.7,2.7,1.7,3.4,2.0,3.0,2.0,2.4,3.0,1.7,3.0,2.0,2.7,2.4,2.7,2.4,2.4,1.4,2.7,2.655
2.7,2.4,3.0,2.4,3.7,2.4,4.0,2.4,3.0,2.4,2.4,3.7,4.0,3.4,3.7,3.7,3.0,3.7,3.0,3.4,2.7,3.4,3.7,3.0,3.7,3.0,3.4,1.7,3.7,2.7,3.0,2.4,2.7,3.106
2.7,2.7,2.0,2.7,1.7,3.7,2.4,2.7,3.7,3.7,4.0,3.0,2.4,3.4,3.0,2.7,3.4,4.0,3.0,3.7,2.4,2.7,2.4,1.7,2.7,3.4,2.7,1.0,2.4,2.7,1.7,1.4,1.7,2.793
3.7,2.4,4.0,1.7,4.0,3.4,2.7,4.0,3.7,4.0,1.4,3.7,3.7,3.7,3.0,2.7,1.7,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.7,1.7,3.4,2.4,3.7,2.7,2.7,1.7,2.4,3.023
3.4,2.4,3.0,1.7,4.0,3.4,3.4,2.0,3.7,4.0,3.7,3.7,3.7,3.7,3.7,3.7,1.7,3.0,2.4,3.7,3.4,3.7,3.0,1.4,3.4,2.4,2.7,2.4,3.7,2.7,2.0,1.4,2.0,3.01
4.0,3.0,3.7,3.4,4.0,3.7,2.4,3.7,3.7,3.0,2.0,3.7,4.0,4.0,4.0,3.7,4.0,4.0,3.7,4.0,3.7,4.0,4.0,1.7,3.4,2.7,3.0,3.4,4.0,2.4,3.7,3.0,2.4,3.4
1.4,1.7,1.7,1.0,1.0,2.7,2.4,2.4,1.0,1.0,1.7,1.0,1.7,2.0,1.0,1.4,1.4,3.7,2.0,1.4,1.0,1.4,3.7,1.7,1.0,3.7,1.7,1.7,1.7,1.0,1.0,2.0,1.4,1.899
3.4,3.0,2.4,3.7,3.7,3.7,1.7,3.0,3.7,3.4,2.7,4.0,4.0,3.7,3.0,3.0,3.7,4.0,2.7,3.7,3.0,3.0,3.4,1.7,3.7,2.0,3.0,2.4,2.7,3.0,3.4,2.7,3.7,3.168
3.7,2.7,2.0,1.4,1.7,3.4,1.7,2.7,3.7,4.0,1.0,3.7,1.0,3.7,2.7,2.7,2.7,2.7,1.4,3.7,1.0,1.4,1.7,1.0,2.7,2.0,3.0,1.4,3.0,2.4,2.7,1.4,2.4,2.57
2.0,3.4,0.0,1.4,1.7,2.7,0.0,1.0,3.7,3.0,0.0,0.0,0.0,2.4,2.4,2.4,0.0,0.0,0.0,0.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.418
3.7,2.7,2.0,1.7,2.7,2.7,1.0,2.0,2.7,3.4,1.7,3.7,2.0,3.7,1.7,2.4,2.4,1.7,1.7,3.7,1.0,2.7,2.0,2.7,3.0,2.0,2.7,2.4,3.0,1.7,2.7,1.0,2.4,2.564
3.0,1.7,3.0,1.4,2.7,2.4,2.4,2.0,3.7,1.7,1.0,3.7,1.4,3.7,2.4,3.4,1.0,1.4,1.7,3.4,1.0,1.7,1.4,1.0,3.4,2.4,2.7,2.0,2.7,2.0,2.7,2.7,1.7,2.468
3.7,2.7,4.0,3.4,4.0,4.0,3.0,4.0,4.0,2.7,3.7,4.0,4.0,4.0,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.7,3.4,4.0,4.0,3.7,4.0,4.0,4.0,3.7,3.7,3.769
2.7,2.7,3.7,1.4,2.4,3.7,2.0,3.7,3.7,1.7,2.7,2.7,3.7,3.7,3.4,3.0,3.7,4.0,2.7,2.7,3.0,3.7,3.7,2.4,2.4,2.7,2.4,2.0,3.7,2.0,3.0,2.0,2.4,2.999
3.7,2.7,2.7,1.0,2.0,3.4,2.0,2.7,3.7,3.4,1.7,4.0,1.4,3.4,2.7,3.0,2.4,2.7,3.0,3.7,2.0,2.0,1.4,2.0,3.0,2.7,3.0,1.4,2.4,1.7,3.0,1.4,2.7,2.768
3.7,1.7,2.0,1.0,2.4,3.0,1.0,2.4,2.7,3.0,2.7,3.4,2.0,3.7,1.7,3.4,1.7,2.0,3.0,3.7,2.4,2.0,3.0,2.7,3.4,2.4,3.0,2.4,3.7,3.7,3.0,2.0,2.4,2.822
3.7,1.7,3.7,1.7,3.7,4.0,1.4,3.7,3.7,3.7,2.0,3.0,3.7,3.7,3.4,3.7,3.0,3.7,2.7,3.7,2.7,3.7,3.4,1.4,2.7,2.7,3.0,3.0,3.7,2.4,3.4,1.7,2.7,3.189
3.0,2.0,3.4,1.7,3.4,3.7,4.0,3.7,3.7,3.7,3.7,3.7,1.7,3.7,1.0,3.0,1.4,4.0,3.0,3.7,1.7,1.4,3.0,1.7,3.7,1.0,2.0,1.4,2.7,2.4,3.0,2.4,1.7,2.715
4.0,1.7,4.0,2.7,4.0,3.7,2.7,3.7,3.7,4.0,2.7,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.0,4.0,3.7,4.0,3.7,2.0,2.7,3.4,4.0,3.4,4.0,3.7,3.7,2.7,3.0,3.578
